"","year","id","age","t","coll","nchild","nchildA","agey","Xt","Xf","Xp","wage","earn","husb","outmarr","outsplit","outn","outh","flag"
"1","2005",1,43,22,0,2,2,10,20,20,0,41.3326440584505,51359.8361495136,0,0,0,0,2,-1
"2","2006",1,44,23,0,2,2,11,21,21,0,40.9071322095962,48673.2142857143,0,1,0,0,2,-1
"3","2007",1,45,24,0,2,2,12,22,22,0,19.9175824175824,46000,1,0,0,0,2,-1
"4","2008",1,46,25,0,2,2,13,23,23,0,26.1197681390238,56716.0513323084,1,0,0,0,2,-1
"5","2009",1,47,26,0,2,2,14,24,24,0,18.0103095081043,58082.3360073088,1,0,0,0,2,-1
"6","2010",1,48,27,0,2,2,15,25,25,0,20.0200004577637,48000,1,0,0,0,2,-1
"7","2011",1,49,28,0,2,2,16,26,26,0,19.0660081674979,60102.8367690796,1,0,0,0,2,-1
"8","2012",1,50,29,0,1,2,17,27,27,0,22.0436054965015,55085.2722632125,1,0,0,0,2,-1
"9","2013",1,51,30,0,0,2,NA,28,28,0,18.8007111396406,NA,1,0,0,0,2,-1
"10","2014",1,52,31,0,0,2,NA,29,29,0,22.4838931414204,NA,1,0,1,0,2,-1
"11","2015",1,53,32,0,0,2,NA,30,30,0,20.2198136017229,NA,0,0,0,0,2,-1
"12","2016",1,54,33,0,0,2,NA,31,31,0,22.895212916138,NA,0,0,0,0,2,-1
"13","2017",1,55,34,0,0,2,NA,32,32,0,27.6978189347641,NA,0,0,0,0,2,-1
"14","2018",1,56,35,0,0,2,NA,33,33,0,35.0564519790012,NA,0,0,0,0,2,-1
"15","2005",2,43,22,0,2,2,15,20,10,10,12.211917562724,NA,1,0,1,0,1,-1
"16","2006",2,44,23,0,1,2,16,21,10,11,10.7621882857595,NA,0,0,0,0,1,-1
"17","2007",2,45,24,0,1,2,17,22,10,12,NA,NA,0,0,0,0,0,-1
"18","2008",2,46,25,0,0,2,NA,22,10,12,4.58792365062247,NA,0,0,0,0,1,-1
"19","2009",2,47,26,0,0,2,NA,23,10,13,15.4312160681814,NA,0,0,0,0,2,-1
"20","2010",2,48,27,0,0,2,NA,24,11,13,16.4899997711182,NA,0,0,0,0,2,-1
"21","2011",2,49,28,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"22","2012",2,50,29,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"23","2013",2,51,30,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"24","2014",2,52,31,0,0,2,NA,25,12,13,NA,32569.8675317653,0,0,0,0,0,-1
"25","2015",2,53,32,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"26","2016",2,54,33,0,0,2,NA,25,12,13,7.09569865680057,NA,0,0,0,0,0,-1
"27","2017",2,55,34,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"28","2018",2,56,35,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"29","2001",3,39,18,0,0,0,NA,13,13,0,NA,39400.2936194241,0,0,0,0,0,-1
"30","2002",3,40,19,0,0,0,NA,13,13,0,6.569558291475,27878.1989994441,0,1,0,0,1,-1
"31","2003",3,41,20,0,0,0,NA,14,13,1,8.14747282608696,29627.1739130435,1,0,0,0,1,-1
"32","2004",3,42,21,0,0,0,NA,15,13,2,8.7153141428845,31167.3478030704,1,0,0,0,1,-1
"33","2005",3,43,22,0,0,0,NA,16,13,3,NA,25679.9180747568,1,0,0,0,2,-1
"34","2006",3,44,23,0,0,0,NA,17,14,3,11.2272882190205,24877.4206349206,1,0,0,0,2,-1
"35","2007",3,45,24,0,0,0,NA,18,15,3,7.93269230769231,30000,1,0,0,0,2,-1
"36","2008",3,46,25,0,0,0,NA,19,16,3,8.93277777576063,32409.1721898905,1,0,0,0,2,-1
"37","2009",3,47,26,0,0,0,NA,20,17,3,8.69806212376492,21344.4580655085,1,0,0,0,2,-1
"38","2010",3,48,27,0,0,0,NA,21,18,3,8.64999961853027,14574,1,0,0,0,2,-1
"39","2011",3,49,28,0,0,0,NA,22,19,3,8.38904359369908,13.5716083026954,1,0,0,0,2,-1
"40","2012",3,50,29,0,0,0,NA,23,20,3,8.37676007846281,30391.8743521172,1,0,0,0,2,-1
"41","2013",3,51,30,0,0,0,NA,24,21,3,6.75025532939225,28081.0621702718,1,0,0,0,2,-1
"42","2014",3,52,31,0,0,0,NA,25,22,3,8.32668555556326,16579.6836982968,1,0,0,0,2,-1
"43","2015",3,53,32,0,0,0,NA,26,23,3,7.9615516056784,32200.0531607437,1,0,0,0,2,-1
"44","2016",3,54,33,0,0,0,NA,27,24,3,12.6650495548049,36341.6067031378,1,0,0,0,2,-1
"45","2017",3,55,34,0,0,0,NA,28,25,3,7.69836438039767,NA,1,0,0,0,2,-1
"46","2018",3,56,35,0,0,0,NA,29,26,3,10.854735232391,NA,1,0,0,0,2,-1
"47","2007",4,45,24,0,0,3,NA,22,22,0,16.3461538461538,NA,0,0,0,0,2,-1
"48","2008",4,46,25,0,0,3,NA,23,23,0,19.5163988417166,NA,0,1,0,0,2,-1
"49","2009",4,47,26,0,0,3,NA,24,24,0,21.9894828971585,NA,1,0,1,0,2,-1
"50","2010",4,48,27,0,0,3,NA,25,25,0,22.5,NA,0,0,0,0,2,-1
"51","2011",4,49,28,0,0,3,NA,26,26,0,16.7780871873982,NA,0,0,0,0,2,-1
"52","2012",4,50,29,0,0,3,NA,27,27,0,18.1876369452958,NA,0,0,0,0,2,-1
"53","2013",4,51,30,0,0,3,NA,28,28,0,14.4005447027035,NA,0,0,0,0,2,-1
"54","2014",4,52,31,0,0,3,NA,29,29,0,16.5796836982968,NA,0,0,0,0,2,-1
"55","2015",4,53,32,0,0,3,NA,30,30,0,15.1648602012922,NA,0,0,0,0,2,-1
"56","2016",4,54,33,0,0,3,NA,31,31,0,15.5723779177656,NA,0,0,0,0,2,-1
"57","2017",4,55,34,0,0,3,NA,32,32,0,13.5059024217503,NA,0,0,0,0,2,-1
"58","2018",4,56,35,0,0,3,NA,33,33,0,22.1870781524867,NA,0,0,0,0,2,-1
"59","2005",5,43,22,0,2,3,11,21,21,0,25.7658040883847,NA,1,0,0,0,1,-1
"60","2006",5,44,23,0,2,3,12,22,21,1,21.0700931556641,NA,1,0,1,0,1,-1
"61","2007",5,45,24,0,2,3,13,23,21,2,9.13461538461539,NA,0,0,0,0,2,-1
"62","2008",5,46,25,0,2,3,14,24,22,2,11.2014205631131,NA,0,0,0,0,2,-1
"63","2009",5,47,26,0,1,3,15,25,23,2,13.6823449137875,NA,0,0,0,0,2,-1
"64","2010",5,48,27,0,1,3,16,26,24,2,14.7399997711182,NA,0,0,0,0,2,-1
"65","2011",5,49,28,0,1,3,17,27,25,2,9.43082024912576,NA,0,0,0,0,2,-1
"66","2012",5,50,29,0,0,3,NA,28,26,2,16.7630178350403,NA,0,0,0,0,2,-1
"67","2013",5,51,30,0,0,3,NA,29,27,2,13.0004917454962,NA,0,0,0,0,2,-1
"68","2014",5,52,31,0,0,3,NA,30,28,2,13.4479660177656,NA,0,0,0,0,2,-1
"69","2015",5,53,32,0,0,3,NA,31,29,2,17.6923369015076,NA,0,0,0,0,2,-1
"70","2016",5,54,33,0,0,3,NA,32,30,2,11.129617052836,NA,0,0,0,0,2,-1
"71","2017",5,55,34,0,0,3,NA,33,31,2,12.4418010188245,NA,0,0,0,0,2,-1
"72","2018",5,56,35,0,0,3,NA,34,32,2,12.1486194733358,NA,0,0,0,0,2,-1
"73","2000",6,38,17,0,3,4,5,15,15,0,16.3731948115297,NA,0,0,0,0,1,-1
"74","2001",6,39,18,0,3,4,6,16,15,1,22.4941580158971,NA,0,0,0,0,2,-1
"75","2002",6,40,19,0,3,4,7,17,16,1,26.2176269983331,NA,0,0,0,0,2,-1
"76","2003",6,41,20,0,3,4,8,18,17,1,17.0926003344482,NA,0,0,0,0,2,-1
"77","2004",6,42,21,0,3,4,9,19,18,1,19.8085808720344,NA,0,0,0,0,2,-1
"78","2005",6,43,22,0,3,4,10,20,19,1,16.1036275552405,NA,0,0,0,0,2,-1
"79","2006",6,44,23,0,3,4,11,21,20,1,19.7721420125356,NA,0,0,0,0,2,-1
"80","2007",6,45,24,0,3,4,12,22,21,1,14.4230769230769,NA,0,0,0,0,2,-1
"81","2008",6,46,25,0,3,4,13,23,22,1,18.4630998183113,NA,0,0,0,0,2,-1
"82","2009",6,47,26,0,3,4,14,24,23,1,7.32982763238617,NA,0,0,0,0,2,-1
"83","2010",6,48,27,0,2,4,15,25,24,1,7.5,NA,0,0,0,0,2,-1
"84","2011",6,49,28,0,2,4,16,26,25,1,11.6514494356932,NA,0,0,0,0,2,-1
"85","2012",6,50,29,0,1,4,17,27,26,1,18.1876369452958,NA,0,0,0,0,2,-1
"86","2005",7,43,22,0,1,4,17,2,1,1,NA,NA,1,0,0,0,0,-1
"87","2006",7,44,23,0,0,4,NA,2,1,1,NA,NA,1,0,0,0,0,-1
"88","2007",7,45,24,0,0,4,NA,2,1,1,3.78787878787879,NA,1,0,0,0,2,-1
"89","2008",7,46,25,0,0,4,NA,3,2,1,6.66413595427675,NA,1,0,0,0,2,-1
"90","2009",7,47,26,0,0,4,NA,4,3,1,7.85105981957807,30492.0829507264,1,0,0,0,1,-1
"91","2010",7,48,27,0,0,4,NA,5,3,2,15.6300001144409,30000,1,0,0,0,1,-1
"92","2011",7,49,28,0,0,4,NA,6,3,3,11.1853914582654,39745.4243150365,1,0,0,0,0,-1
"93","2012",7,50,29,0,0,4,NA,6,3,3,NA,19944.6675435769,1,0,0,0,1,-1
"94","2009",8,47,26,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
